"EXP","SALARY","LNSALARY","EXPSQ"
7,26075,10.1687,49
28,79370,11.2819,784
23,65726,11.0932,529
18,41983,10.645,324
19,62308,11.0398,361
15,41154,10.6251,225
24,53610,10.8895,576
13,33697,10.4252,169
2,22444,10.0188,4
8,32562,10.3909,64
20,43076,10.6707,400
21,56000,10.9331,441
18,58667,10.9796,324
7,22210,10.0083,49
2,20521,9.9292,4
18,49727,10.8143,324
11,33233,10.4113,121
21,43628,10.6835,441
4,16105,9.6869,16
24,65644,11.092,576
20,63022,11.0512,400
20,47780,10.7744,400
15,38853,10.5675,225
25,66537,11.1055,625
25,67477,11.1195,625
28,64785,11.0788,784
26,61581,11.0281,676
27,70678,11.1659,729
20,51301,10.8455,400
18,39346,10.5801,324
1,24833,10.1199,1
26,65929,11.0963,676
20,41721,10.6388,400
26,82641,11.3223,676
28,99139,11.5043,784
23,52624,10.8709,529
17,50594,10.8316,289
25,53272,10.8832,625
26,65343,11.0874,676
19,46216,10.7411,361
16,54288,10.9021,256
3,20844,9.9448,9
12,32586,10.3916,144
23,71235,11.1737,529
20,36530,10.5059,400
19,52745,10.8732,361
27,67282,11.1166,729
25,80931,11.3014,625
12,32303,10.3829,144
11,38371,10.5551,121
